TradeID,DateTime,Pair,Type,Price,Quantity,TotalCost,ProfitLoss,Date,Day,Coin,TF,Position,Risk,PnL$,R/Factor,Complete,Notes
1,2025-03-11 08:00:00 UTC,BTC/USD,Buy,82921.1,0.000602,49.9,-10,3/11/2025,Tuesday,BTC,Daily,Long,10,-10,-1,Yes,Loss
2,2025-03-12 08:00:00 UTC,ETH/USD,Sell,1908.22,0.174,332.03,49.5,3/12/2025,Wednesday,ETH,Daily,Short,9.9,49.5,5,Yes,Win
3,2025-03-13 08:00:00 UTC,BTC/USD,Sell,81100.2,0.000614,49.8,-10.39,3/13/2025,Thursday,BTC,Daily,Short,10.39,-10.39,-1,Yes,Loss
4,2025-03-14 08:00:00 UTC,ETH/USD,Buy,1911.62,0.171,326.89,-10.29,3/14/2025,Friday,ETH,Daily,Long,10.29,-10.29,-1,Yes,Loss
5,2025-03-15 08:00:00 UTC,BTC/USD,Buy,84341.3,0.000592,49.96,50.95,3/15/2025,Saturday,BTC,Daily,Long,10.19,50.95,5,Yes,Win
6,2025-03-16 08:00:00 UTC,ETH/USD,Sell,1887.65,0.17,320.9,-10.69,3/16/2025,Sunday,ETH,Daily,Short,10.69,-10.69,-1,Yes,Loss
7,2025-03-17 08:00:00 UTC,BTC/USD,Sell,84019.1,0.000595,50,-10.58,3/17/2025,Monday,BTC,Daily,Short,10.58,-10.58,-1,Yes,Loss
8,2025-03-18 08:00:00 UTC,ETH/USD,Buy,1932.61,0.164,316.95,52.35,3/18/2025,Tuesday,ETH,Daily,Long,10.47,52.35,5,Yes,Win
9,2025-03-19 08:00:00 UTC,BTC/USD,Buy,86841,0.000576,50.03,-10.99,3/19/2025,Wednesday,BTC,Daily,Long,10.99,-10.99,-1,Yes,Loss
10,2025-03-20 08:00:00 UTC,ETH/USD,Sell,1983.57,0.159,315.33,-10.88,3/20/2025,Thursday,ETH,Daily,Short,10.88,-10.88,-1,Yes,Loss
11,2025-03-21 08:00:00 UTC,BTC/USD,Sell,84073.3,0.000595,50.02,53.85,3/21/2025,Friday,BTC,Daily,Short,10.77,53.85,5,Yes,Win
12,2025-03-22 08:00:00 UTC,ETH/USD,Buy,1980.8,0.16,317.73,-11.31,3/22/2025,Saturday,ETH,Daily,Long,11.31,-11.31,-1,Yes,Loss
13,2025-03-23 08:00:00 UTC,BTC/USD,Buy,86077.4,0.000581,50,-11.2,3/23/2025,Sunday,BTC,Daily,Long,11.2,-11.2,-1,Yes,Loss
14,2025-03-24 08:00:00 UTC,ETH/USD,Sell,2078.73,0.152,316.36,54.45,3/24/2025,Monday,ETH,Daily,Short,10.89,54.45,5,Yes,Win
15,2025-03-25 08:00:00 UTC,BTC/USD,Sell,87404,0.000572,50.01,-11.43,3/25/2025,Tuesday,BTC,Daily,Short,11.43,-11.43,-1,Yes,Loss
16,2025-03-26 08:00:00 UTC,ETH/USD,Buy,2009.59,0.157,315.51,-11.32,3/26/2025,Wednesday,ETH,Daily,Long,11.32,-11.32,-1,Yes,Loss
17,2025-03-27 08:00:00 UTC,BTC/USD,Buy,87228.2,0.000573,50,-11.21,3/27/2025,Thursday,BTC,Daily,Long,11.21,-11.21,-1,Yes,Loss
18,2025-03-28 08:00:00 UTC,ETH/USD,Sell,1896.69,0.166,314.85,55.05,3/28/2025,Friday,ETH,Daily,Short,11.01,55.05,5,Yes,Win
19,2025-03-29 08:00:00 UTC,BTC/USD,Sell,82645.7,0.000606,50.09,-11.56,3/29/2025,Saturday,BTC,Daily,Short,11.56,-11.56,-1,Yes,Loss
20,2025-03-30 08:00:00 UTC,ETH/USD,Buy,1807.02,0.174,314.42,-11.44,3/30/2025,Sunday,ETH,Daily,Long,11.44,-11.44,-1,Yes,Loss
21,2025-03-31 08:00:00 UTC,BTC/USD,Buy,82548.8,0.000606,50.02,-11.33,3/31/2025,Monday,BTC,Daily,Long,11.33,-11.33,-1,Yes,Loss
22,2025-04-01 08:00:00 UTC,ETH/USD,Sell,1904.99,0.165,314.32,55.95,4/1/2025,Tuesday,ETH,Daily,Short,11.19,55.95,5,Yes,Win
23,2025-04-02 08:00:00 UTC,BTC/USD,Sell,82525,0.000606,50.01,-11.67,4/2/2025,Wednesday,BTC,Daily,Short,11.67,-11.67,-1,Yes,Loss
24,2025-04-03 08:00:00 UTC,ETH/USD,Buy,1816.53,0.173,314.19,-11.55,4/3/2025,Thursday,ETH,Daily,Long,11.55,-11.55,-1,Yes,Loss
25,2025-04-04 08:00:00 UTC,BTC/USD,Buy,83866.7,0.000596,50,57.15,4/4/2025,Friday,BTC,Daily,Long,11.43,57.15,5,Yes,Win
26,2025-04-05 08:00:00 UTC,ETH/USD,Sell,1806.47,0.174,314.21,-12,4/5/2025,Saturday,ETH,Daily,Short,12,-12,-1,Yes,Loss
27,2025-04-06 08:00:00 UTC,BTC/USD,Sell,78391.3,0.000638,50,-11.88,4/6/2025,Sunday,BTC,Daily,Short,11.88,-11.88,-1,Yes,Loss
28,2025-04-07 08:00:00 UTC,ETH/USD,Buy,1553.01,0.202,313.7,58.8,4/7/2025,Monday,ETH,Daily,Long,11.76,58.8,5,Yes,Win
29,2025-04-08 08:00:00 UTC,BTC/USD,Buy,76312.5,0.000655,50,-12.35,4/8/2025,Tuesday,BTC,Daily,Long,12.35,-12.35,-1,Yes,Loss
30,2025-04-09 08:00:00 UTC,ETH/USD,Sell,1669.74,0.188,314.03,-12.23,4/9/2025,Wednesday,ETH,Daily,Short,12.23,-12.23,-1,Yes,Loss
31,2025-04-10 08:00:00 UTC,BTC/USD,Sell,79607.5,0.000628,50,-12.11,4/10/2025,Thursday,BTC,Daily,Short,12.11,-12.11,-1,Yes,Loss
32,2025-04-11 08:00:00 UTC,ETH/USD,Buy,1566.77,0.2,313.35,59.95,4/11/2025,Friday,ETH,Daily,Long,11.99,59.95,5,Yes,Win
33,2025-04-12 08:00:00 UTC,BTC/USD,Buy,85292.7,0.000587,50.06,-12.59,4/12/2025,Saturday,BTC,Daily,Long,12.59,-12.59,-1,Yes,Loss
34,2025-04-13 08:00:00 UTC,ETH/USD,Sell,1597.77,0.196,313.2,-12.46,4/13/2025,Sunday,ETH,Daily,Short,12.46,-12.46,-1,Yes,Loss
35,2025-04-14 08:00:00 UTC,BTC/USD,Sell,84586.4,0.000592,50.09,-12.34,4/14/2025,Monday,BTC,Daily,Short,12.34,-12.34,-1,Yes,Loss
36,2025-04-15 08:00:00 UTC,ETH/USD,Buy,1588.8,0.196,311.4,60.95,4/15/2025,Tuesday,ETH,Daily,Long,12.19,60.95,5,Yes,Win
37,2025-04-16 08:00:00 UTC,BTC/USD,Buy,84032.2,0.000595,50,-12.81,4/16/2025,Wednesday,BTC,Daily,Long,12.81,-12.81,-1,Yes,Loss
38,2025-04-17 08:00:00 UTC,ETH/USD,Sell,1582.73,0.197,311.86,-12.68,4/17/2025,Thursday,ETH,Daily,Short,12.68,-12.68,-1,Yes,Loss
39,2025-04-18 08:00:00 UTC,BTC/USD,Sell,84474.6,0.000592,50,-12.55,4/18/2025,Friday,BTC,Daily,Short,12.55,-12.55,-1,Yes,Loss
40,2025-04-19 08:00:00 UTC,ETH/USD,Buy,1612.58,0.193,311.23,61.9,4/19/2025,Saturday,ETH,Daily,Long,12.38,61.9,5,Yes,Win
41,2025-04-20 08:00:00 UTC,BTC/USD,Buy,85179,0.000587,50,-13,4/20/2025,Sunday,BTC,Daily,Long,13,-13,-1,Yes,Loss
42,2025-04-21 08:00:00 UTC,ETH/USD,Sell,1579.59,0.197,311.18,-12.87,4/21/2025,Monday,ETH,Daily,Short,12.87,-12.87,-1,Yes,Loss
43,2025-04-22 08:00:00 UTC,BTC/USD,Sell,93441.9,0.000535,50,-12.74,4/22/2025,Tuesday,BTC,Daily,Short,12.74,-12.74,-1,Yes,Loss
44,2025-04-23 08:00:00 UTC,ETH/USD,Buy,1795.07,0.173,310.45,62.85,4/23/2025,Wednesday,ETH,Daily,Long,12.57,62.85,5,Yes,Win
45,2025-04-24 08:00:00 UTC,BTC/USD,Buy,93980.3,0.000532,50,-13.19,4/24/2025,Thursday,BTC,Daily,Long,13.19,-13.19,-1,Yes,Loss
46,2025-04-25 08:00:00 UTC,ETH/USD,Sell,1785.96,0.174,310.76,-13.06,4/25/2025,Friday,ETH,Daily,Short,13.06,-13.06,-1,Yes,Loss
47,2025-04-26 08:00:00 UTC,BTC/USD,Sell,94631.4,0.000528,50,-12.93,4/26/2025,Saturday,BTC,Daily,Short,12.93,-12.93,-1,Yes,Loss
48,2025-04-27 08:00:00 UTC,ETH/USD,Buy,1791.42,0.172,308.12,63.95,4/27/2025,Sunday,ETH,Daily,Long,12.79,63.95,5,Yes,Win
49,2025-04-28 08:00:00 UTC,BTC/USD,Buy,94995,0.000526,50,-13.44,4/28/2025,Monday,BTC,Daily,Long,13.44,-13.44,-1,Yes,Loss
50,2025-04-29 08:00:00 UTC,ETH/USD,Sell,1798.47,0.171,307.48,-13.3,4/29/2025,Tuesday,ETH,Daily,Short,13.3,-13.3,-1,Yes,Loss
51,2025-04-30 08:00:00 UTC,BTC/USD,Sell,94184.4,0.000531,50,-13.17,4/30/2025,Wednesday,BTC,Daily,Short,13.17,-13.17,-1,Yes,Loss
52,2025-05-01 08:00:00 UTC,ETH/USD,Buy,1838.32,0.167,307,65.05,5/1/2025,Thursday,ETH,Daily,Long,13.01,65.05,5,Yes,Win
53,2025-05-02 08:00:00 UTC,BTC/USD,Buy,96894.4,0.000516,50,-13.66,5/2/2025,Friday,BTC,Daily,Long,13.66,-13.66,-1,Yes,Loss
54,2025-05-03 08:00:00 UTC,ETH/USD,Sell,1833.93,0.167,306.27,-13.52,5/3/2025,Saturday,ETH,Daily,Short,13.52,-13.52,-1,Yes,Loss
55,2025-05-04 08:00:00 UTC,BTC/USD,Sell,94316.9,0.00053,50,-13.39,5/4/2025,Sunday,BTC,Daily,Short,13.39,-13.39,-1,Yes,Loss
56,2025-05-05 08:00:00 UTC,ETH/USD,Buy,1820.34,0.168,305.82,66.15,5/5/2025,Monday,ETH,Daily,Long,13.23,66.15,5,Yes,Win
57,2025-05-06 08:00:00 UTC,BTC/USD,Buy,96825.4,0.000516,50,-13.88,5/6/2025,Tuesday,BTC,Daily,Long,13.88,-13.88,-1,Yes,Loss
58,2025-05-07 08:00:00 UTC,ETH/USD,Sell,1811.2,0.169,306.09,-13.74,5/7/2025,Wednesday,ETH,Daily,Short,13.74,-13.74,-1,Yes,Loss
59,2025-05-08 08:00:00 UTC,BTC/USD,Sell,103274.3,0.000484,50,-13.61,5/8/2025,Thursday,BTC,Daily,Short,13.61,-13.61,-1,Yes,Loss
60,2025-05-09 08:00:00 UTC,ETH/USD,Buy,2345.27,0.13,304.89,67.25,5/9/2025,Friday,ETH,Daily,Long,13.45,67.25,5,Yes,Win
61,2025-05-10 08:00:00 UTC,BTC/USD,Buy,104798,0.000477,50,-14.12,5/10/2025,Saturday,BTC,Daily,Long,14.12,-14.12,-1,Yes,Loss
62,2025-05-11 08:00:00 UTC,ETH/USD,Sell,2515.22,0.121,304.39,-13.98,5/11/2025,Sunday,ETH,Daily,Short,13.98,-13.98,-1,Yes,Loss
63,2025-05-12 08:00:00 UTC,BTC/USD,Sell,102795,0.000486,50,-13.84,5/12/2025,Monday,BTC,Daily,Short,13.84,-13.84,-1,Yes,Loss
64,2025-05-13 08:00:00 UTC,ETH/USD,Buy,2680.05,0.113,302.75,68.9,5/13/2025,Tuesday,ETH,Daily,Long,13.78,68.9,5,Yes,Win
65,2025-05-14 08:00:00 UTC,BTC/USD,Buy,103513.9,0.000483,50,-14.46,5/14/2025,Wednesday,BTC,Daily,Long,14.46,-14.46,-1,Yes,Loss
66,2025-05-15 08:00:00 UTC,ETH/USD,Sell,2548.16,0.119,303.19,-14.32,5/15/2025,Thursday,ETH,Daily,Short,14.32,-14.32,-1,Yes,Loss
67,2025-05-16 08:00:00 UTC,BTC/USD,Sell,103480.5,0.000483,50,-14.18,5/16/2025,Friday,BTC,Daily,Short,14.18,-14.18,-1,Yes,Loss
68,2025-05-17 08:00:00 UTC,ETH/USD,Buy,2475.04,0.122,301.95,70.05,5/17/2025,Saturday,ETH,Daily,Long,14.01,70.05,5,Yes,Win
69,2025-05-18 08:00:00 UTC,BTC/USD,Buy,106504.5,0.000469,50,-14.75,5/18/2025,Sunday,BTC,Daily,Long,14.75,-14.75,-1,Yes,Loss
70,2025-05-19 08:00:00 UTC,ETH/USD,Sell,2413.56,0.125,301.7,-14.6,5/19/2025,Monday,ETH,Daily,Short,14.6,-14.6,-1,Yes,Loss
